1;BOS;CLE;99;102; October 17, 2017
2;HOU;GSW;122;121; October 17, 2017
3;MIL;BOS;108;100;October 18, 2017
4;ATL;DAL;117;111;October 18, 2017
5;CHA;DET;90;102;October 18, 2017
6;BKN;IND;131;140;October 18, 2017
7;NOP;MEM;91;103;October 18, 2017
8;MIA;ORL;109;116;October 18, 2017
9;POR;PHX;124;76;October 18, 2017
10;HOU;SAC;105;100;October 18, 2017
11;MIN;SAS;99;107;October 18, 2017
12;DEN;UTA;96;106;October 18, 2017
13;PHI;WAS;115;120;October 18, 2017
14;LAC;LAL;108;92;October 19, 2017
15;NYK;OKC;84;105;October 19, 2017
16;CHI;TOR;100;117;October 19, 2017
17;ORL;BKN;121;126;October 20, 2017
18;ATL;CHA;91;109;October 20, 2017
19;SAC;DAL;93;88;October 20, 2017
20;POR;IND;114;96;October 20, 2017
21;CLE;MIL;116;97;October 20, 2017
22;UTA;MIN;97;100;October 20, 2017
23;GSW;NOP;128;120;October 20, 2017
24;BOS;PHI;102;92;October 20, 2017
25;LAL;PHX;132;130;October 20, 2017
26;DET;WAS;111;115;October 20, 2017
27;SAS;CHI;87;77;October 21, 2017
28;ORL;CLE;114;93;October 21, 2017
29;SAC;DEN;79;96;October 21, 2017
30;DAL;HOU;91;107;October 21, 2017
31;PHX;LAC;88;130;October 21, 2017
32;GSW;MEM;101;111;October 21, 2017
33;IND;MIA;108;112;October 21, 2017
34;POR;MIL;110;113;October 21, 2017
35;DET;NYK;111;107;October 21, 2017
36;PHI;TOR;94;128;October 21, 2017
37;OKC;UTA;87;96;October 21, 2017
38;ATL;BKN;104;116;October 22, 2017
39;NOP;LAL;119;112;October 22, 2017
40;MIN;OKC;115;113;October 22, 2017
41;GSW;DAL;133;103;October 23, 2017
42;WAS;DEN;109;104;October 23, 2017
43;PHI;DET;97;86;October 23, 2017
44;MEM;HOU;98;90;October 23, 2017
45;ATL;MIA;93;104;October 23, 2017
46;CHA;MIL;94;103;October 23, 2017
47;SAC;PHX;115;117;October 23, 2017
48;TOR;SAS;97;101;October 23, 2017
49;NYK;BOS;89;110; October 24, 2017
50;CHI;CLE;112;119; October 24, 2017
51;UTA;LAC;84;102; October 24, 2017
52;IND;MIN;130;107; October 24, 2017
53;BKN;ORL;121;125; October 24, 2017
54;NOP;POR;93;103; October 24, 2017
55;CLE;BKN;107;112;October 25, 2017
56;DEN;CHA;93;110;October 25, 2017
57;MEM;DAL;94;103;October 25, 2017
58;MIN;DET;101;122;October 25, 2017
59;TOR;GSW;112;117;October 25, 2017
60;WAS;LAL;99;102;October 25, 2017
61;SAS;MIA;117;100;October 25, 2017
62;IND;OKC;96;114;October 25, 2017
63;HOU;PHI;105;104;October 25, 2017
64;UTA;PHX;88;97;October 25, 2017
65;ATL;CHI;86;91;October 26, 2017
66;DAL;MEM;91;96;October 26, 2017
67;BOS;MIL;96;89;October 26, 2017
68;LAC;POR;104;103;October 26, 2017
69;NOP;SAC;114;106;October 26, 2017
70;DEN;ATL;105;100;October 27, 2017
71;HOU;CHA;109;93;October 27, 2017
72;WAS;GSW;117;120;October 27, 2017
73;TOR;LAL;101;92;October 27, 2017
74;OKC;MIN;116;119;October 27, 2017
75;BKN;NYK;86;107;October 27, 2017
76;SAS;ORL;87;114;October 27, 2017
77;OKC;CHI;101;69;October 28, 2017
78;PHI;DAL;112;110;October 28, 2017
79;DET;LAC;95;87;October 28, 2017
80;HOU;MEM;89;103;October 28, 2017
81;BOS;MIA;96;90;October 28, 2017
82;CLE;NOP;101;123;October 28, 2017
83;PHX;POR;107;114;October 28, 2017
84;LAL;UTA;81;96;October 28, 2017
85;MIL;ATL;117;106;October 29, 2017
86;DEN;BKN;124;111;October 29, 2017
87;ORL;CHA;113;120;October 29, 2017
88;NYK;CLE;114;95;October 29, 2017
89;DET;GSW;115;107;October 29, 2017
90;SAS;IND;94;97;October 29, 2017
91;WAS;SAC;110;83;October 29, 2017
92;SAS;BOS;94;108;October 30, 2017
93;PHI;HOU;115;107;October 30, 2017
94;GSW;LAC;141;113;October 30, 2017
95;CHA;MEM;104;99;October 30, 2017
96;MIN;MIA;125;122;October 30, 2017
97;ORL;NOP;115;99;October 30, 2017
98;DEN;NYK;110;116;October 30, 2017
99;TOR;POR;99;85;October 30, 2017
100;DAL;UTA;89;104;October 30, 2017
101;PHX;BKN;122;114; October 31, 2017
102;SAC;IND;83;101; October 31, 2017
103;DET;LAL;93;113; October 31, 2017
104;OKC;MIL;110;91; October 31, 2017
105;SAC;BOS;86;113;November 1, 2017
106;MIL;CHA;121;126;November 1, 2017
107;IND;CLE;124;107;November 1, 2017
108;TOR;DEN;111;129;November 1, 2017
109;DAL;LAC;98;119;November 1, 2017
110;ORL;MEM;101;99;November 1, 2017
111;CHI;MIA;91;97;November 1, 2017
112;MIN;NOP;104;98;November 1, 2017
113;HOU;NYK;119;97;November 1, 2017
114;ATL;PHI;109;119;November 1, 2017
115;POR;UTA;103;112;November 1, 2017
116;PHX;WAS;122;116;November 1, 2017
117;LAL;POR;110;113;November 2, 2017
118;GSW;SAS;112;92;November 2, 2017
119;HOU;ATL;119;104;November 3, 2017
120;NOP;DAL;99;94;November 3, 2017
121;MIA;DEN;94;95;November 3, 2017
122;MIL;DET;96;105;November 3, 2017
123;BKN;LAL;112;124;November 3, 2017
124;PHX;NYK;107;120;November 3, 2017
125;BOS;OKC;101;94;November 3, 2017
126;CHI;ORL;105;83;November 3, 2017
127;IND;PHI;110;121;November 3, 2017
128;CHA;SAS;101;108;November 3, 2017
129;TOR;UTA;109;100;November 3, 2017
130;CLE;WAS;130;122;November 3, 2017
131;NOP;CHI;96;90;November 4, 2017
132;GSW;DEN;127;108;November 4, 2017
133;SAC;DET;99;108;November 4, 2017
134;MEM;LAC;113;104;November 4, 2017
135;DAL;MIN;99;112;November 4, 2017
136;ATL;CLE;117;115;November 5, 2017
137;UTA;HOU;110;137;November 5, 2017
138;MIA;LAC;104;101;November 5, 2017
139;MEM;LAL;102;107;November 5, 2017
140;CHA;MIN;94;112;November 5, 2017
141;IND;NYK;101;108;November 5, 2017
142;BOS;ORL;104;88;November 5, 2017
143;OKC;POR;99;103;November 5, 2017
144;PHX;SAS;95;112;November 5, 2017
145;WAS;TOR;107;96;November 5, 2017
146;BOS;ATL;110;107;November 6, 2017
147;MIA;GSW;80;97;November 6, 2017
148;BKN;PHX;98;92;November 6, 2017
149;MIL;CLE;119;124; November 7, 2017
150;BKN;DEN;104;112; November 7, 2017
151;NOP;IND;117;112; November 7, 2017
152;CHA;NYK;113;118; November 7, 2017
153;MEM;POR;98;97; November 7, 2017
154;OKC;SAC;86;94; November 7, 2017
155;LAC;SAS;107;120; November 7, 2017
156;CHI;TOR;114;119; November 7, 2017
157;PHI;UTA;104;97; November 7, 2017
158;DAL;WAS;113;99; November 7, 2017
159;LAL;BOS;96;107;November 8, 2017
160;IND;DET;97;114;November 8, 2017
161;MIN;GSW;101;125;November 8, 2017
162;NYK;ORL;99;112;November 8, 2017
163;MIA;PHX;126;115;November 8, 2017
164;OKC;DEN;94;102;November 9, 2017
165;CLE;HOU;113;117;November 9, 2017
166;PHI;SAC;108;109;November 9, 2017
167;NOP;TOR;118;122;November 9, 2017
168;LAL;WAS;95;111;November 9, 2017
169;CHA;BOS;87;90;November 10, 2017
170;IND;CHI;105;87;November 10, 2017
171;ATL;DET;104;111;November 10, 2017
172;LAC;OKC;111;120;November 10, 2017
173;ORL;PHX;128;112;November 10, 2017
174;BKN;POR;101;97;November 10, 2017
175;MIL;SAS;94;87;November 10, 2017
176;MIA;UTA;84;74;November 10, 2017
177;CLE;DAL;111;104;November 11, 2017
178;ORL;DEN;107;125;November 11, 2017
179;PHI;GSW;114;135;November 11, 2017
180;MEM;HOU;96;111;November 11, 2017
181;LAL;MIL;90;98;November 11, 2017
182;LAC;NOP;103;111;November 11, 2017
183;SAC;NYK;91;118;November 11, 2017
184;MIN;PHX;110;118;November 11, 2017
185;CHI;SAS;94;133;November 11, 2017
186;BKN;UTA;106;114;November 11, 2017
187;ATL;WAS;94;113;November 11, 2017
188;TOR;BOS;94;95;November 12, 2017
189;MIA;DET;103;112;November 12, 2017
190;HOU;IND;118;95;November 12, 2017
191;DAL;OKC;99;112;November 12, 2017
192;ORL;GSW;100;110;November 13, 2017
193;PHI;LAC;109;105;November 13, 2017
194;MEM;MIL;103;110;November 13, 2017
195;ATL;NOP;105;106;November 13, 2017
196;CLE;NYK;104;101;November 13, 2017
197;LAL;PHX;100;93;November 13, 2017
198;DEN;POR;82;99;November 13, 2017
199;MIN;UTA;109;98;November 13, 2017
200;SAC;WAS;92;110;November 13, 2017
201;BOS;BKN;109;102; November 14, 2017
202;SAS;DAL;97;91; November 14, 2017
203;TOR;HOU;129;113; November 14, 2017
204;SAC;ATL;80;126;November 15, 2017
205;CLE;CHA;115;107;November 15, 2017
206;PHI;LAL;115;109;November 15, 2017
207;IND;MEM;116;113;November 15, 2017
208;WAS;MIA;102;93;November 15, 2017
209;DET;MIL;95;99;November 15, 2017
210;SAS;MIN;86;98;November 15, 2017
211;TOR;NOP;125;116;November 15, 2017
212;UTA;NYK;101;106;November 15, 2017
213;CHI;OKC;79;92;November 15, 2017
214;ORL;POR;94;99;November 15, 2017
215;GSW;BOS;88;92;November 16, 2017
216;HOU;PHX;142;116;November 16, 2017
217;UTA;BKN;107;118;November 17, 2017
218;CHA;CHI;120;123;November 17, 2017
219;LAC;CLE;113;118;November 17, 2017
220;MIN;DAL;111;87;November 17, 2017
221;NOP;DEN;114;146;November 17, 2017
222;DET;IND;100;107;November 17, 2017
223;PHX;LAL;122;113;November 17, 2017
224;POR;SAC;82;86;November 17, 2017
225;OKC;SAS;101;104;November 17, 2017
226;NYK;TOR;84;107;November 17, 2017
227;MIA;WAS;91;88;November 17, 2017
228;BOS;ATL;110;99;November 18, 2017
229;LAC;CHA;87;102;November 18, 2017
230;MIL;DAL;79;111;November 18, 2017
231;HOU;MEM;105;83;November 18, 2017
232;UTA;ORL;125;85;November 18, 2017
233;GSW;PHI;124;116;November 18, 2017
234;SAC;POR;90;102;November 18, 2017
235;GSW;BKN;118;111;November 19, 2017
236;DEN;LAL;109;127;November 19, 2017
237;IND;MIA;120;95;November 19, 2017
238;DET;MIN;100;97;November 19, 2017
239;CHI;PHX;105;113;November 19, 2017
240;WAS;TOR;91;100;November 19, 2017
241;MIN;CHA;102;118;November 20, 2017
242;BOS;DAL;110;102;November 20, 2017
243;CLE;DET;116;88;November 20, 2017
244;POR;MEM;100;92;November 20, 2017
245;WAS;MIL;99;88;November 20, 2017
246;OKC;NOP;107;114;November 20, 2017
247;LAC;NYK;85;107;November 20, 2017
248;IND;ORL;105;97;November 20, 2017
249;UTA;PHI;86;107;November 20, 2017
250;DEN;SAC;114;98;November 20, 2017
251;ATL;SAS;85;96;November 20, 2017
252;CHI;LAL;94;103; November 21, 2017
253;LAC;ATL;116;103;November 22, 2017
254;WAS;CHA;124;129;November 22, 2017
255;BKN;CLE;109;119;November 22, 2017
256;DEN;HOU;95;125;November 22, 2017
257;DAL;MEM;95;94;November 22, 2017
258;BOS;MIA;98;104;November 22, 2017
259;ORL;MIN;118;124;November 22, 2017
260;SAS;NOP;90;107;November 22, 2017
261;TOR;NYK;100;108;November 22, 2017
262;GSW;OKC;91;108;November 22, 2017
263;POR;PHI;81;101;November 22, 2017
264;MIL;PHX;113;107;November 22, 2017
265;LAL;SAC;102;113;November 22, 2017
266;CHI;UTA;80;110;November 22, 2017
267;NYK;ATL;104;116;November 24, 2017
268;ORL;BOS;103;118;November 24, 2017
269;POR;BKN;127;125;November 24, 2017
270;CHA;CLE;99;100;November 24, 2017
271;MEM;DEN;92;104;November 24, 2017
272;CHI;GSW;94;143;November 24, 2017
273;TOR;IND;104;107;November 24, 2017
274;MIA;MIN;109;97;November 24, 2017
275;DET;OKC;99;98;November 24, 2017
276;NOP;PHX;115;91;November 24, 2017
277;TOR;ATL;112;78;November 25, 2017
278;SAS;CHA;106;86;November 25, 2017
279;OKC;DAL;81;97;November 25, 2017
280;NOP;GSW;95;110;November 25, 2017
281;NYK;HOU;102;117;November 25, 2017
282;BOS;IND;108;98;November 25, 2017
283;ORL;PHI;111;130;November 25, 2017
284;LAC;SAC;97;95;November 25, 2017
285;MIL;UTA;108;121;November 25, 2017
286;POR;WAS;108;105;November 25, 2017
287;MIA;CHI;100;93;November 26, 2017
288;BKN;MEM;98;88;November 26, 2017
289;PHX;MIN;108;119;November 26, 2017
290;DET;BOS;118;108;November 27, 2017
291;SAC;GSW;110;106;November 27, 2017
292;BKN;HOU;103;117;November 27, 2017
293;ORL;IND;109;121;November 27, 2017
294;LAL;LAC;115;120;November 27, 2017
295;POR;NYK;103;91;November 27, 2017
296;CLE;PHI;113;91;November 27, 2017
297;DAL;SAS;108;115;November 27, 2017
298;PHX;CHI;104;99; November 28, 2017
299;MIA;CLE;97;108; November 28, 2017
300;WAS;MIN;92;89; November 28, 2017
301;MIL;SAC;112;87; November 28, 2017
302;DEN;UTA;77;106; November 28, 2017
303;BKN;DAL;109;104;November 29, 2017
304;PHX;DET;107;131;November 29, 2017
305;IND;HOU;97;118;November 29, 2017
306;GSW;LAL;127;123;November 29, 2017
307;MIN;NOP;120;102;November 29, 2017
308;MIA;NYK;86;115;November 29, 2017
309;OKC;ORL;108;121;November 29, 2017
310;WAS;PHI;113;118;November 29, 2017
311;MEM;SAS;95;104;November 29, 2017
312;CHA;TOR;113;126;November 29, 2017
313;CLE;ATL;121;114;November 30, 2017
314;PHI;BOS;97;108;November 30, 2017
315;CHI;DEN;110;111;November 30, 2017
316;UTA;LAC;126;107;November 30, 2017
317;MIL;POR;103;91;November 30, 2017
318;SAC;CHI;107;106;December 1, 2017
319;SAS;MEM;95;79;December 1, 2017
320;CHA;MIA;100;105;December 1, 2017
321;MIN;OKC;107;111;December 1, 2017
322;GSW;ORL;133;112;December 1, 2017
323;IND;TOR;115;120;December 1, 2017
324;NOP;UTA;108;114;December 1, 2017
325;DET;WAS;91;109;December 1, 2017
326;PHX;BOS;111;116;December 2, 2017
327;ATL;BKN;114;102;December 2, 2017
328;MEM;CLE;111;116;December 2, 2017
329;LAC;DAL;82;108;December 2, 2017
330;LAL;DEN;100;115;December 2, 2017
331;SAC;MIL;104;109;December 2, 2017
332;DET;PHI;103;108;December 2, 2017
333;NOP;POR;123;116;December 2, 2017
334;HOU;LAL;118;95;December 3, 2017
335;GSW;MIA;123;95;December 3, 2017
336;LAC;MIN;106;112;December 3, 2017
337;ORL;NYK;105;100;December 3, 2017
338;SAS;OKC;87;90;December 3, 2017
339;BKN;ATL;110;90;December 4, 2017
340;MIL;BOS;100;111;December 4, 2017
341;CLE;CHI;113;91;December 4, 2017
342;ORL;CHA;94;104;December 4, 2017
343;DEN;DAL;105;122;December 4, 2017
344;NYK;IND;97;115;December 4, 2017
345;MIN;MEM;92;95;December 4, 2017
346;GSW;NOP;125;115;December 4, 2017
347;PHX;PHI;115;101;December 4, 2017
348;DET;SAS;93;96;December 4, 2017
349;WAS;UTA;69;116;December 4, 2017
350;UTA;OKC;94;100; December 5, 2017
351;WAS;POR;106;92; December 5, 2017
352;PHX;TOR;113;126; December 5, 2017
353;DAL;BOS;90;97;December 6, 2017
354;GSW;CHA;101;87;December 6, 2017
355;SAC;CLE;95;101;December 6, 2017
356;CHI;IND;96;98;December 6, 2017
357;MIN;LAC;113;107;December 6, 2017
358;DET;MIL;100;104;December 6, 2017
359;DEN;NOP;114;123;December 6, 2017
360;MEM;NYK;88;99;December 6, 2017
361;ATL;ORL;106;110;December 6, 2017
362;MIA;SAS;105;117;December 6, 2017
363;OKC;BKN;95;100;December 7, 2017
364;LAL;PHI;107;104;December 7, 2017
365;WAS;PHX;109;99;December 7, 2017
366;HOU;UTA;112;101;December 7, 2017
367;CHI;CHA;119;111;December 8, 2017
368;GSW;DET;102;98;December 8, 2017
369;CLE;IND;102;106;December 8, 2017
370;TOR;MEM;116;107;December 8, 2017
371;DAL;MIL;102;109;December 8, 2017
372;SAC;NOP;116;109;December 8, 2017
373;DEN;ORL;103;89;December 8, 2017
374;BOS;SAS;102;105;December 8, 2017
375;ORL;ATL;110;117;December 9, 2017
376;MIA;BKN;101;89;December 9, 2017
377;NYK;CHI;102;104;December 9, 2017
378;LAL;CHA;110;99;December 9, 2017
379;PHI;CLE;98;105;December 9, 2017
380;WAS;LAC;112;113;December 9, 2017
381;OKC;MEM;102;101;December 9, 2017
382;UTA;MIL;100;117;December 9, 2017
383;SAS;PHX;104;101;December 9, 2017
384;HOU;POR;124;117;December 9, 2017
385;BOS;DET;91;81;December 10, 2017
386;DEN;IND;116;126;December 10, 2017
387;DAL;MIN;92;97;December 10, 2017
388;PHI;NOP;124;131;December 10, 2017
389;ATL;NYK;107;111;December 10, 2017
390;TOR;SAC;102;87;December 10, 2017
391;BOS;CHI;85;108;December 11, 2017
392;POR;GSW;104;111;December 11, 2017
393;NOP;HOU;123;130;December 11, 2017
394;TOR;LAC;91;96;December 11, 2017
395;MIA;MEM;107;82;December 11, 2017
396;CHA;OKC;116;103;December 11, 2017
397;WAS;BKN;98;103; December 12, 2017
398;ATL;CLE;114;123; December 12, 2017
399;SAS;DAL;89;95; December 12, 2017
400;DEN;DET;103;84; December 12, 2017
401;PHI;MIN;118;112; December 12, 2017
402;LAL;NYK;109;113; December 12, 2017
403;PHX;SAC;92;99; December 12, 2017
404;DEN;BOS;118;124;December 13, 2017
405;UTA;CHI;100;103;December 13, 2017
406;CHA;HOU;96;108;December 13, 2017
